lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta_re_flat,theta_im_flat,theta_re_f0_980,theta_im_f0_980,theta_re_f0_600,theta_im_f0_600,theta_re_f0_1370,theta_im_f0_1370,theta_re_f0_1500,theta_im_f0_1500,theta_re_f2_1270,theta_im_f2_1270,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,theta.1.5,theta.2.5,theta.1.6,theta.2.6,theta.1.7,theta.2.7

-9241.08,0.987427,0.0900907,5,23,0,-4.8009,-3.50804,-1.12841,4.91718,1.03833,4.98473,2.54825,-1.04611,0.586218,-1.09604,-3.15547,1.192,-4.8009,-3.50804,-1.12841,4.91718,1.03833,4.98473,2.54825,-1.04611,0.586218,-1.09604,1,0,-3.15547,1.192
-9239.99,0.956491,0.0900907,5,27,0,-4.61204,-3.97498,-1.31932,4.92516,0.984223,4.98256,2.52709,-0.755127,0.643939,-1.08882,-3.12543,1.24783,-4.61204,-3.97498,-1.31932,4.92516,0.984223,4.98256,2.52709,-0.755127,0.643939,-1.08882,1,0,-3.12543,1.24783
-9243.58,0.958311,0.0900907,5,31,0,-4.75966,-4.55064,-0.517265,4.69513,1.24332,4.9575,2.54391,-0.168543,0.906829,-1.1891,-2.89139,1.60076,-4.75966,-4.55064,-0.517265,4.69513,1.24332,4.9575,2.54391,-0.168543,0.906829,-1.1891,1,0,-2.89139,1.60076
-9241.7,0.987573,0.0900907,5,31,0,-4.46588,-3.02537,-0.0282799,4.76859,0.963127,4.98551,2.18231,-0.204371,0.745586,-1.01434,-2.80769,1.77084,-4.46588,-3.02537,-0.0282799,4.76859,0.963127,4.98551,2.18231,-0.204371,0.745586,-1.01434,1,0,-2.80769,1.77084
-9241.67,0.789956,0.0900907,6,63,0,-4.71209,-3.55482,-1.91018,4.66044,0.680516,4.94186,2.54448,-1.70608,0.564735,-1.02689,-3.28234,0.633539,-4.71209,-3.55482,-1.91018,4.66044,0.680516,4.94186,2.54448,-1.70608,0.564735,-1.02689,1,0,-3.28234,0.633539
-9238.93,0.972889,0.0900907,6,63,0,-4.57726,-4.15092,-1.507,4.75211,0.925129,4.98753,2.64153,-1.05617,0.581763,-1.11939,-3.16955,1.069,-4.57726,-4.15092,-1.507,4.75211,0.925129,4.98753,2.64153,-1.05617,0.581763,-1.11939,1,0,-3.16955,1.069
-9239.42,0.973227,0.0900907,5,31,0,-4.68679,-4.13185,-1.51691,4.8418,0.899931,4.99036,2.77506,-1.03094,0.55584,-1.09458,-3.13052,1.04217,-4.68679,-4.13185,-1.51691,4.8418,0.899931,4.99036,2.77506,-1.03094,0.55584,-1.09458,1,0,-3.13052,1.04217
-9241.33,0.856967,0.0900907,6,63,0,-4.53781,-4.50203,-1.21378,4.7127,1.27002,4.96851,2.28096,-0.750949,0.772184,-1.19301,-3.09272,1.27687,-4.53781,-4.50203,-1.21378,4.7127,1.27002,4.96851,2.28096,-0.750949,0.772184,-1.19301,1,0,-3.09272,1.27687
-9241.17,0.974306,0.0900907,6,63,0,-4.76971,-3.38787,-2.08803,4.88206,0.161685,4.99415,2.54202,-0.997902,0.690249,-1.14734,-3.37888,0.789471,-4.76971,-3.38787,-2.08803,4.88206,0.161685,4.99415,2.54202,-0.997902,0.690249,-1.14734,1,0,-3.37888,0.789471
